,Entidad federativa,Educación media superior2,Educación superior3,Grado promedio de escolaridad
0,01 Aguascalientes,21.8451412833691,20.6700930323336,9.72597472304436
1,02 Baja California,25.4626023758364,19.3841748818716,9.75741772139322
2,03 Baja California Sur,27.3663280610984,21.0517141308283,9.90553523078439
3,04 Campeche,20.2795182049188,20.3094851495442,9.13845446041069
4,05 Coahuila de Zaragoza,21.4437460169645,21.5054992345517,9.897388248825
5,06 Colima,21.7192901325985,22.0296230334276,9.52872041908884
6,07 Chiapas,16.3756945761405,11.7008219660594,7.28858120820635
7,08 Chihuahua,21.431445788509,18.8374254190274,9.46659055864783
8,09 Ciudad de México,26.6231401592069,32.1371399201777,11.1195871123974
9,10 Durango,20.2026323785143,16.6726464066611,9.14760965873131
10,11 Guanajuato,18.3701504378504,13.154602989524,8.38185068146182
11,12 Guerrero,19.6373552315066,12.8872039655457,7.80270742203381
12,13 Hidalgo,20.2641602779874,14.9266999383778,8.71545667795293
13,14 Jalisco,20.8126190668938,18.9532754023219,9.24986079597544
14,15 México,24.9869327441321,17.8547399151122,9.52806737925937
15,16 Michoacán de Ocampo,16.9690664570817,13.3114797213987,7.92616695604693
16,17 Morelos,22.7932055667627,18.1454945484908,9.30300061402554
17,18 Nayarit,22.1849179364927,18.6605511323331,9.15892146940172
18,19 Nuevo León,22.8384046958371,24.1727110461728,10.2749558573754
19,20 Oaxaca,16.0951823148202,11.5855144217851,7.51576301956816
20,21 Puebla,18.9933237764987,16.4777249677244,8.49385434412069
21,22 Querétaro,20.8761304453936,21.1537664064566,9.55326026787634
22,23 Quintana Roo,25.7852572334289,18.6154853717061,9.61503624357601
23,24 San Luis Potosí,19.7070493031542,16.6668812259747,8.81999521036877
24,25 Sinaloa,23.9183520678675,23.0351558916395,9.58132525939067
25,26 Sonora,24.7612506019755,21.9362526669265,10.0014293654817
26,27 Tabasco,23.4957831149502,18.7690781218081,9.31176893327734
27,28 Tamaulipas,23.1366650282418,19.3669414394435,9.50851208682107
28,29 Tlaxcala,22.2595744633995,16.6947634311159,9.27411156289314
29,30 Veracruz de Ignacio de la Llave,19.6648554600037,15.5627869596475,8.20343794803589
30,31 Yucatán,19.9087296200241,18.1635519400263,8.82107732936428
31,32 Zacatecas,16.4234728136149,14.9784222197652,8.62959903171634
